Blockno,UnixTimestamp,Value_IN(ETH),Value_IN_USD,TxnFee_ETH,TxnFee_USD,HistoricalPrice_ETH,hour,dayofweek,GasEfficiency,recon_error,autoencoder_anomaly
19557332,1711930127,0.0,0.0,0.0020001522623159,6.16723857319375,3505.52,0,0,6167238.573193749,0.2883149,0
19557336,1711930175,0.0,0.0,0.0037934227728565,11.6965811503288,3505.52,0,0,11696581.1503288,0.28752115,0
19557336,1711930175,0.0,0.0,0.0028915236498662,8.91567933338671,3505.52,0,0,8915679.33338671,0.28308475,0
19557337,1711930187,0.0,0.0,0.004279688,13.195923836455,3505.52,0,0,13195923.836455,0.29397324,0
19557337,1711930187,0.0,0.0,0.0032307588742179,9.96167198125927,3505.52,0,0,9961671.981259272,0.28360534,0
19557338,1711930199,0.7265547869396715,2546.952336712757,0.0048416468719914,14.9286591372572,3505.52,0,0,0.005861381430743,0.3111688,0
19557339,1711930211,0.0,0.0,0.0052574309402009,16.2106813072153,3505.52,0,0,16210681.3072153,0.31555656,0
19557340,1711930223,0.1,350.552,0.0035780526305385,11.0325121820595,3505.52,0,0,0.0314718277191049,0.297153,0
19557341,1711930235,1.0,3505.52,0.0089578990450144,27.6206474707181,3505.52,0,0,0.0078791869573811,0.3701684,0
19557342,1711930247,0.0,0.0,0.0030920003339872,9.5338260428304,3505.52,0,0,9533826.0428304,0.2832251,0
19557343,1711930259,0.5,1752.76,0.0035101371841004,10.8231027441481,3505.52,0,0,0.0061748914500406,0.29648852,0
19557344,1711930271,0.0,0.0,0.0031820604024403,9.81151586601688,3505.52,0,0,9811515.86601688,0.28344548,0
19557345,1711930283,0.0,0.0,0.0019365597407085,5.97115837489442,3505.52,0,0,5971158.374894421,0.28905335,0
19557345,1711930283,0.0,0.0,0.00057081324503,1.76003673778458,3505.52,0,0,1760036.73778458,0.31618044,0
19557349,1711930331,0.0,0.0,0.0020934177593644,6.45481196537134,3505.52,0,0,6454811.96537134,0.28731993,0
19557349,1711930331,1.03,3610.6856,0.0022020526491632,6.7897751056203,3505.52,0,0,0.001880466996002,0.36419135,0
19557349,1711930331,0.0,0.0,0.003066112,9.4540023539194,3505.52,0,0,9454002.3539194,0.2831798,0
19557349,1711930331,0.0,0.0,0.0005856328501232,1.80573127909145,3505.52,0,0,1805731.27909145,0.31576732,0
